date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET,BETSSON,COMEON,BET FRED,SMARKETS,10BET,888SPORT,BOYLE SPORTS,LAD BROKES,BETWAY,WILLIAM HILL,BETFAIR EXCHANGE

2023-03-19,1,Sweden,Loreen - Tattoo,40%,1.8,1.6,1.85,1.83,1.83,1.85,1.8,1.8,1.92,1.8,1.83,1.8,1.73,1.8,1.83,1.98

2023-03-19,2,Finland,Käärijä - Cha Cha Cha,14%,5.5,4.75,4.5,6,5.5,4.5,4,5.5,6.4,4,5,4.5,5.5,4,5.5,7

2023-03-19,3,Ukraine,Tvorchi - Heart of Steel,12%,6.5,7,6,6,6,7,6,6,7,6,5.5,5,5,7.5,5,8.4

2023-03-19,4,Norway,Alessandra - Queen of Kings,5%,15,15,15,15,17,13,15,17,18,15,13,15,15,19,13,21

2023-03-19,5,Israel,Noa Kirel - Unicorn,3%,23,26,21,26,29,25,26,23,20,26,21,21,26,34,13,27

2023-03-19,6,Spain,Blanca Paloma - Eaea,3%,21,29,21,21,34,20,26,23,27,26,29,21,29,26,23,30

2023-03-19,7,United Kingdom,Mae Muller - I Wrote A Song,3%,29,34,41,34,26,30,26,26,44,26,14,34,21,26,17,50

2023-03-19,8,Czechia,Vesna - My Sister's Crown,2%,34,34,31,34,34,35,29,34,38,29,23,34,23,34,17,46

2023-03-19,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,34,51,51,34,45,34,34,44,34,26,34,26,51,26,50

2023-03-19,10,France,La Zarra - Évidemment,2%,41,51,51,51,41,40,34,41,50,34,34,34,34,34,26,65

2023-03-19,11,Georgia,Iru - Echo,1%,67,41,81,81,41,70,34,34,120,34,41,67,29,26,29,160

2023-03-19,12,Italy,Marco Mengoni - Due vite,1%,56,67,67,81,51,50,51,51,70,51,34,51,41,51,26,85

2023-03-19,13,Armenia,Brunette - Future Lover,1%,41,67,101,81,81,75,41,67,110,41,51,41,51,41,34,140

2023-03-19,14,Switzerland,Remo Forrer - Watergun,1%,67,67,101,51,81,70,67,67,120,67,41,51,67,67,51,150

2023-03-19,15,Serbia,Luke Black - Samo mi se spava,1%,101,126,101,101,126,120,101,101,85,101,41,67,101,101,67,100

2023-03-19,16,Croatia,Let 3 - Mama ŠČ!,1%,101,101,101,151,126,120,101,101,170,101,34,81,67,101,41,200

2023-03-19,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,101,200,101,101,81,101,126,101,230

2023-03-19,18,Australia,Voyager - Promise,1%,126,201,101,151,301,100,101,101,120,101,101,101,151,126,34,150

2023-03-19,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,151,151,201,150,151,101,220,151,101,101,151,151,34,250

2023-03-19,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,151,151,201,150,151,201,170,151,81,101,201,151,101,200

2023-03-19,21,Estonia,Alika - Bridges,<1%,201,201,101,201,201,150,201,201,200,201,51,151,201,201,67,230

2023-03-19,22,Iceland,Diljá - Power,<1%,151,151,101,251,201,120,201,201,280,201,101,126,201,151,101,550

2023-03-19,23,Azerbaijan,TuralTuranX - Tell Me More,<1%,151,201,301,201,201,200,151,201,280,151,101,101,201,151,101,800

2023-03-19,24,Poland,Blanka - Solo,<1%,201,201,201,201,301,150,201,201,260,201,201,101,201,151,21,360

2023-03-19,25,Ireland,Wild Youth - We Are One,<1%,201,251,251,151,301,250,151,201,280,151,101,67,151,201,101,780

2023-03-19,26,Portugal,Mimicat - Ai Coração,<1%,201,201,251,201,301,200,201,201,280,201,101,101,201,201,101,730

2023-03-19,27,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,251,201,251,301,200,201,201,280,201,67,151,201,201,101,830

2023-03-19,28,Greece,Victor Vernicos - What They Say,<1%,201,251,251,251,301,250,201,201,270,201,101,126,201,201,151,470

2023-03-19,29,Slovenia,Joker Out - Carpe Diem,<1%,251,251,151,251,301,250,201,201,280,201,151,201,201,251,67,550

2023-03-19,30,Denmark,Reiley - Breaking My Heart,<1%,201,251,251,201,301,250,201,201,280,201,101,201,201,201,151,730

2023-03-19,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,251,501,200,201,201,290,201,151,126,201,251,151,1000

2023-03-19,32,Belgium,Gustaph - Because of You,<1%,251,251,301,251,501,250,251,201,290,251,151,201,201,251,201,1000

2023-03-19,32,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,251,501,250,251,201,290,251,151,201,201,301,151,1000

2023-03-19,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,251,501,250,251,201,290,251,101,126,201,251,101,1000

2023-03-19,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,251,501,250,251,201,290,251,151,201,201,251,151,1000

2023-03-19,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,251,501,300,251,201,290,251,201,201,201,301,251,1000

2023-03-19,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,251,501,300,251,201,290,251,151,201,201,301,201,1000

