date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET, BETSSON ,BETFAIR SPORT,10BET,COMEON,BOYLE SPORTS,BET STARS,LAD BROKES,BET FRED,BETWAY, WILLIAM  HILL, * SMARKETS,BETFAIR*  EXCHANGE 
2023-05-05,1,Sweden,Loreen - Tattoo,40%,1.83,1.67,1.9,2,1.8,1.62,1.62,1.62,1.8,1.67,1.73,2,2,1.62,2.02,2.16
2023-05-05,2,Finland,Käärijä - Cha Cha Cha,24%,2.67,2.75,2.9,3.5,2.95,2.88,2.9,2.9,2.88,3,3,3.25,3.4,2.88,3.7,3.75
2023-05-05,3,France,La Zarra - Évidemment,8%,8,11,9,10,9,10,8.5,8.5,8,9,10,9,8,7,9,11
2023-05-05,4,Ukraine,Tvorchi - Heart of Steel,5%,11,15,13,15,15,13,11,11,13,14,13,13,12,10,19,17
2023-05-05,5,Spain,Blanca Paloma - Eaea,4%,17,17,23,21,20,12,13,13,15,15,13,15,23,15,29,36
2023-05-05,6,Norway,Alessandra - Queen of Kings,3%,17,21,23,26,20,19,17,17,19,23,21,17,26,17,28,36
2023-05-05,7,Israel,Noa Kirel - Unicorn,2%,29,29,45,41,35,23,21,21,21,23,23,26,41,21,42,65
2023-05-05,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,34,81,67,50,31,29,29,21,41,29,26,41,26,65,85
2023-05-05,9,Italy,Marco Mengoni - Due vite,2%,34,41,55,34,45,34,41,41,41,51,51,34,41,26,48,65
2023-05-05,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,101,81,67,70,46,51,51,51,56,51,34,51,34,70,100
2023-05-05,11,Czechia,Vesna - My Sister's Crown,1%,126,81,151,201,100,81,81,81,67,81,81,67,101,67,260,300
2023-05-05,12,Armenia,Brunette - Future Lover,1%,101,81,126,151,100,126,101,101,81,201,67,67,101,101,210,250
2023-05-05,13,Switzerland,Remo Forrer - Watergun,1%,151,101,251,201,150,151,126,126,101,151,81,101,126,67,260,460
2023-05-05,14,Australia,Voyager - Promise,<1%,101,151,201,251,100,151,101,101,126,151,151,101,151,101,260,400
2023-05-05,15,Croatia,Let 3 - Mama ŠČ!,<1%,126,151,301,251,150,101,126,126,101,151,151,101,151,101,270,600
2023-05-05,16,Germany,Lord Of The Lost - Blood & Glitter,<1%,126,151,301,201,200,151,151,151,151,151,151,101,151,101,260,340
2023-05-05,17,Serbia,Luke Black - Samo mi se spava,<1%,201,151,301,251,150,201,151,151,126,201,151,101,151,101,230,650
2023-05-05,18,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,201,301,301,250,151,151,151,151,151,151,101,126,101,270,630
2023-05-05,19,Slovenia,Joker Out - Carpe Diem,<1%,201,151,301,201,200,201,151,151,201,201,151,201,151,126,270,900
2023-05-05,20,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,151,201,251,250,251,201,201,126,251,151,101,151,101,270,520
2023-05-05,21,Ireland,Wild Youth - We Are One,<1%,151,401,501,201,300,126,151,151,81,176,151,126,101,67,260,320
2023-05-05,22,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,251,251,201,250,251,201,201,201,251,126,201,201,251,270,540
2023-05-05,23,Georgia,Iru - Echo,<1%,301,151,401,501,250,201,251,251,151,201,201,101,126,101,270,900
2023-05-05,24,Poland,Blanka - Solo,<1%,301,301,301,301,250,251,251,251,201,251,101,201,251,201,280,570
2023-05-05,25,Estonia,Alika - Bridges,<1%,251,201,401,501,200,251,251,251,201,251,201,201,201,151,280,1000
2023-05-05,26,Portugal,Mimicat - Ai Coração,<1%,301,301,401,301,300,251,251,251,201,251,251,201,251,151,280,1000
2023-05-05,27,Lithuania,Monika Linkytė - Stay,<1%,301,251,401,301,300,301,251,251,151,301,201,201,251,251,280,1000
2023-05-05,28,Belgium,Gustaph - Because of You,<1%,301,301,401,501,300,301,301,301,251,301,201,201,251,201,280,1000
2023-05-05,29,Iceland,Diljá - Power,<1%,501,301,401,501,300,251,401,401,201,251,251,201,251,201,280,1000
2023-05-05,30,Denmark,Reiley - Breaking My Heart,<1%,501,401,401,501,500,251,401,401,251,251,251,201,251,201,280,1000
2023-05-05,31,Greece,Victor Vernicos - What They Say,<1%,501,501,501,501,500,251,401,401,251,251,201,201,251,251,280,1000
2023-05-05,32,Malta,The Busker - Dance (Our Own Party),<1%,501,501,501,751,500,301,501,501,251,301,251,201,301,201,280,1000
2023-05-05,33,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,501,601,751,500,301,501,501,251,301,251,201,251,251,280,1000
2023-05-05,34,Albania,Albina & Familja Kelmendi - Duje,<1%,501,1001,501,501,500,301,501,501,251,301,251,201,301,251,280,1000
2023-05-05,35,San Marino,Piqued Jacks - Like An Animal,<1%,501,501,601,751,500,301,501,501,501,301,251,201,301,151,280,1000
2023-05-05,36,Latvia,Sudden Lights - Aijā,<1%,501,1001,501,751,500,301,501,501,251,301,251,201,251,251,280,1000
2023-05-05,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,1001,601,751,500,301,501,501,501,301,251,201,301,201,280,1000
