date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET, BETSSON ,10BET,BOYLE SPORTS,COMEON,LAD BROKES, * SMARKETS,888 SPORT,BET FRED,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-03-27,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,1.9,1.91,1.91,1.85,1.8,1.8,1.8,1.73,1.97,1.83,1.8,1.91,1.91,1.8,2.06
2023-03-27,2,Finland,Käärijä - Cha Cha Cha,15%,5.0,4.25,4.5,5.5,5.0,4.25,4.0,4.5,4.0,5.0,6.2,5.0,5.5,4.5,5.0,5.0,6.6
2023-03-27,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.0,6.5,6.5,7.0,6.0,6.0,6.0,6.0,6.6,5.5,6.0,7.5,6.0,7.0,8.2
2023-03-27,4,Norway,Alessandra - Queen of Kings,5%,13.0,11.0,13.0,15.0,12.0,11.0,13.0,15.0,13.0,15.0,16.0,13.0,11.0,15.0,13.0,13.0,18.0
2023-03-27,5,Spain,Blanca Paloma - Eaea,4%,17.0,21.0,17.0,17.0,19.0,20.0,17.0,17.0,17.0,23.0,19.0,17.0,23.0,17.0,17.0,21.0,21.0
2023-03-27,6,Israel,Noa Kirel - Unicorn,3%,23.0,26.0,23.0,21.0,26.0,25.0,21.0,21.0,21.0,21.0,25.0,21.0,21.0,21.0,21.0,17.0,36.0
2023-03-27,7,Czechia,Vesna - My Sister's Crown,3%,23.0,34.0,23.0,26.0,26.0,25.0,26.0,34.0,26.0,29.0,26.0,23.0,26.0,26.0,26.0,34.0,32.0
2023-03-27,8,United Kingdom,Mae Muller - I Wrote A Song,2%,41.0,41.0,61.0,34.0,34.0,40.0,34.0,23.0,34.0,26.0,60.0,26.0,26.0,26.0,26.0,34.0,75.0
2023-03-27,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,41.0,41.0,41.0,51.0,41.0,40.0,34.0,34.0,34.0,29.0,50.0,26.0,34.0,41.0,41.0,34.0,65.0
2023-03-27,10,France,La Zarra - Évidemment,2%,51.0,51.0,51.0,51.0,41.0,50.0,41.0,41.0,41.0,41.0,65.0,34.0,41.0,34.0,41.0,51.0,80.0
2023-03-27,11,Italy,Marco Mengoni - Due vite,1%,67.0,81.0,51.0,81.0,67.0,65.0,51.0,67.0,51.0,51.0,95.0,34.0,51.0,51.0,67.0,51.0,120.0
2023-03-27,12,Armenia,Brunette - Future Lover,1%,51.0,81.0,81.0,81.0,81.0,75.0,51.0,51.0,51.0,51.0,95.0,51.0,67.0,41.0,51.0,34.0,120.0
2023-03-27,13,Georgia,Iru - Echo,1%,81.0,81.0,81.0,81.0,101.0,70.0,67.0,67.0,67.0,67.0,110.0,41.0,34.0,81.0,67.0,67.0,140.0
2023-03-27,14,Switzerland,Remo Forrer - Watergun,1%,81.0,101.0,81.0,81.0,81.0,80.0,67.0,67.0,67.0,81.0,100.0,41.0,67.0,67.0,67.0,67.0,130.0
2023-03-27,15,Serbia,Luke Black - Samo mi se spava,1%,101.0,101.0,81.0,101.0,126.0,100.0,101.0,101.0,101.0,81.0,210.0,101.0,101.0,101.0,101.0,101.0,240.0
