date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BETFAIR SPORT,BOYLE SPORTS, BETSSON ,BET FRED, * SMARKETS,COMEON,888 SPORT,LAD BROKES,10BET,BETWAY, WILLIAM  HILL,BETFAIR*  EXCHANGE 
2023-04-03,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.9,2.0,2.0,1.83,1.85,1.83,1.97,1.8,1.83,1.73,1.8,1.91,1.83,2.06
2023-04-03,2,Finland,Käärijä - Cha Cha Cha,15%,5.0,4.25,4.3,5.0,6.0,4.5,4.25,5.0,6.8,4.0,5.0,5.0,4.0,5.5,5.0,6.8
2023-04-03,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,7.5,6.5,6.5,7.0,7.0,6.8,6.0,6.0,6.0,6.0,7.5,6.0,8.6
2023-04-03,4,Norway,Alessandra - Queen of Kings,6%,13.0,11.0,13.0,12.0,13.0,13.0,11.0,13.0,16.0,13.0,13.0,15.0,13.0,13.0,13.0,19.0
2023-04-03,5,Spain,Blanca Paloma - Eaea,4%,15.0,21.0,19.0,21.0,15.0,17.0,18.0,17.0,20.0,15.0,17.0,17.0,15.0,15.0,17.0,21.0
2023-04-03,6,Israel,Noa Kirel - Unicorn,3%,23.0,26.0,23.0,21.0,26.0,26.0,25.0,21.0,25.0,21.0,21.0,21.0,21.0,26.0,21.0,30.0
2023-04-03,7,Czechia,Vesna - My Sister's Crown,2%,34.0,34.0,41.0,26.0,23.0,26.0,35.0,26.0,46.0,26.0,23.0,29.0,26.0,29.0,26.0,55.0
2023-04-03,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,26.0,29.0,31.0,29.0,31.0,26.0,35.0,26.0,38.0,29.0,26.0,29.0,29.0,26.0,41.0,44.0
2023-04-03,9,United Kingdom,Mae Muller - I Wrote A Song,2%,51.0,51.0,51.0,41.0,41.0,34.0,40.0,41.0,70.0,34.0,26.0,26.0,34.0,34.0,26.0,85.0
2023-04-03,10,France,La Zarra - Évidemment,2%,41.0,41.0,41.0,51.0,51.0,41.0,45.0,51.0,48.0,41.0,34.0,41.0,41.0,41.0,41.0,50.0
2023-04-03,11,Italy,Marco Mengoni - Due vite,1%,51.0,51.0,41.0,67.0,67.0,51.0,50.0,51.0,75.0,51.0,34.0,51.0,51.0,67.0,67.0,90.0
2023-04-03,12,Armenia,Brunette - Future Lover,1%,81.0,81.0,81.0,101.0,67.0,81.0,80.0,67.0,110.0,51.0,51.0,51.0,51.0,67.0,67.0,130.0
2023-04-03,13,Switzerland,Remo Forrer - Watergun,1%,101.0,81.0,81.0,126.0,101.0,81.0,100.0,67.0,200.0,67.0,41.0,81.0,67.0,81.0,67.0,200.0
